Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brunei Darussalam,BRN,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,..,..,..,..,..,..,95.88538361,..,..,..,..
Brunei Darussalam,BRN,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,..,..,..,..,..,97.44892883,..,..,..,..
Brunei Darussalam,BRN,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..,10.53744984,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..,11.72811985,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,11.11402988,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,85.48999786,..,..,81.91000366,84.12000275,81.37999725,..
Brunei Darussalam,BRN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,5.302080154,9.182189941,9.726420403,..,9.984600067,..,11.44194984,..,..,..,..
Brunei Darussalam,BRN,"Preprimary education, duration (years)",SE.PRE.DURS,3,3,3,3,3,3,3,3,3,3,..
Brunei Darussalam,BRN,"Primary education, duration (years)",SE.PRM.DURS,6,6,6,6,6,6,6,6,6,6,6
Brunei Darussalam,BRN,"Primary education, pupils",SE.PRM.ENRL,44215,43767,42753,42090,41078,40397,40471,39610,39472,39236,..
Brunei Darussalam,BRN,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,48.29809,48.37663,48.38725,48.56498,48.65135,48.49122,48.43962,48.40192,48.56861,..,..
Brunei Darussalam,BRN,"Primary education, teachers",SE.PRM.TCHR,3896,3861,4038,4146,4004,4033,3969,3890,3989,4014,..
Brunei Darussalam,BRN,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,75.92401886,75.83528137,75.7305603,76.74867249,76.69830322,77.31217194,77.55101776,77.48072052,77.78891754,78.07672882,..
Brunei Darussalam,BRN,"Secondary education, duration (years)",SE.SEC.DURS,7,7,7,7,7,7,7,7,7,7,7
Brunei Darussalam,BRN,"Secondary education, general pupils",SE.SEC.ENRL.GC,44806,45626,46432,44877,43387,41735,40731,39992,38822,..,..
Brunei Darussalam,BRN,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,49.24117,48.57976,48.32874,48.84685,48.64821,48.98287,49.056,49.31736,49.21436,..,..
Brunei Darussalam,BRN,"Secondary education, pupils",SE.SEC.ENRL,48724,49916,52396,51738,49009,47249,45589,44464,44079,42679,..
Brunei Darussalam,BRN,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,48.58181,48.1549,48.47507,48.63157,48.12994,48.346,48.6828,48.92047,48.99839,..,..
Brunei Darussalam,BRN,"Secondary education, teachers",SE.SEC.TCHR,..,5023,5192,5304,5359,5347,5323,5101,5331,5222,..
Brunei Darussalam,BRN,"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,..,65.29962158,65.79353333,66.76094055,66.78485107,67.88854218,67.68739319,68.61399841,68.29862976,69.18804932,..
Brunei Darussalam,BRN,"Secondary education, teachers, female",SE.SEC.TCHR.FE,..,3280,3416,3541,3579,3630,3603,3500,3641,3613,..
Brunei Darussalam,BRN,"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,..,..,..,..,15.43999958,..,..,19.98999977,18.62999916,18.60000038,..
Brunei Darussalam,BRN,"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,..,..,..,..,17.20000076,..,..,19.96999931,20.71999931,20.09000015,..
Brunei Darussalam,BRN,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,4.579999924,..,..,7.480000019,8.760000229,6.190000057,..
Brunei Darussalam,BRN,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,..,..,..,4.900000095,..,..,8.210000038,10.88000011,7.579999924,..
Brunei Darussalam,BRN,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.27826118,1.86409724,1.85097218,1.898314,1.91436803,2.38708901,2.54828691,2.27036428,2.41291642,..,..
Brunei Darussalam,BRN,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.10.TO,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,8.26134872,8.47186852,8.85192871,9.40742016,7.33459949,4.97357655,4.97981548,5.41142321,4.85925293,..,..
Brunei Darussalam,BRN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.7,9.8,10,10.2,10.4,10.6,10.8,11,11.2,11.4,..
Brunei Darussalam,BRN,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,8.8,8.9,9,9.2,9.3,9.5,9.7,9.9,10.1,10.2,..
Brunei Darussalam,BRN,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,10.6,10.7,10.9,11.1,11.4,11.6,11.8,12.1,12.3,12.6,..
Brunei Darussalam,BRN,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,1.3,1.9,2.1,1.8,1.8,1.9,2.6,3.3,3.1,2.7,..
Brunei Darussalam,BRN,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,0.7,0,0.6,1.1,1.4,0.7,0.5,0.8,0.8,0.8,..
Brunei Darussalam,BRN,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,1.8,3.7,3.5,2.4,2.2,2.9,4.4,5.6,5.3,4.4,..
Brunei Darussalam,BRN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,62.09999847,62.02000046,61.88999939,61.70999908,61.43999863,60.79999924,60.11000061,59.36000061,60.79000092,60.24000168,58.56999969
Brunei Darussalam,BRN,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,..,..,..,..,67.93000031,..,..,62.83000183,67.12999725,68.19000244,..
Brunei Darussalam,BRN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..,..,61.04999924,..,..,56.88000107,59.70999908,59.95000076,..
Brunei Darussalam,BRN,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,96.34904195,96.34904195,96.34904195,96.34904195,96.34904195,96.34904195,..,..,..,..,..
Brunei Darussalam,BRN,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,25.95909903,25.46813721,25.10244643,24.80138272,24.47671737,24.0887717,23.88351596,23.49595852,23.02646149,22.61652261,..
Brunei Darussalam,BRN,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,8.044081527,7.943340385,8.024846522,8.198688553,8.324022871,8.314954501,8.440945891,8.252238049,7.862577612,7.457041008,..
Brunei Darussalam,BRN,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,8.131868132,7.997620351,8.080592525,8.272424737,8.422106569,8.440071125,8.581783879,8.402821063,8.020635167,7.619747113,..
Brunei Darussalam,BRN,"Population ages 0-14, female",SP.POP.0014.FE.IN,48853,48472,48407,48505,48543,48427,48587,48338,47881,47512,..
Brunei Darussalam,BRN,"Population ages 0-14, male",SP.POP.0014.MA.IN,52038,51793,51751,51799,51753,51520,51677,51399,50894,50478,..
Brunei Darussalam,BRN,"Population ages 0-14, total",SP.POP.0014.TO,100889,100265,100156,100302,100298,99946,100263,99734,98775,97994,..
Brunei Darussalam,BRN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,70.65118385,71.04763163,71.30522395,71.48046219,71.64719635,71.8373033,71.8158647,71.93625979,72.10039094,72.17466564,..
Brunei Darussalam,BRN,"Population ages 15-64, female",SP.POP.1564.FE.IN,132350,134475,136390,138205,140039,141948,143541,145440,147441,149223,..
Brunei Darussalam,BRN,"Population ages 15-64, male",SP.POP.1564.MA.IN,142232,145226,148106,150878,153549,156109,157945,159907,161844,163501,..
Brunei Darussalam,BRN,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,6455,6725,7009,7324,7715,8195,8759,9418,10167,10998,..
Brunei Darussalam,BRN,"Population ages 65 and above, total",SP.POP.65UP.TO,13174,13717,14333,15037,15883,16903,18054,19389,20904,22569,..
Brunei Darussalam,BRN,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,6718,6997,7326,7710,8170,8708,9291,9971,10735,11574,..
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.227117263,1.288981384,1.337513016,1.352256699,1.313717171,1.246081245,1.172400865,1.10699921,1.051993743,1.002737318,..
Brunei Darussalam,BRN,Population in largest city,EN.URB.LCTY,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,291333,296486,301859,307348,312785,318080,323204,328169,332999,337711,..
Brunei Darussalam,BRN,Rural population,SP.RUR.TOTL,97313,97202,97130,97073,96984,96827,96596,96304,95963,95574,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,388646,393688,398989,404421,409769,414907,419800,424473,428962,433285,..
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,200725,203744,206866,210001,213017,215824,218381,220724,222905,224976,..
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,187921,189944,192123,194420,196752,199083,201419,203749,206057,208309,..
Brunei Darussalam,BRN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,31.1,48.19865799,51.52984238,54.88513947,56.1,68.84770203,76.62667847,89.07,91.83401489,93,..
Cambodia,KHM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,15.77243821,36.47347792,40.11477394,43.8848664,44.72675374,60.51231225,70.0286114,86.08934338,89.42852772,90.90677232,..
Cambodia,KHM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.3,93.21829224,94.37664032,95.25200653,96.9,98.079422,99.24687195,99.06,99.71366119,99.7,..
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.26,3.1,4.94,6.8,14,6.43319107,32.39845171,32.90027854,40.5459865,..,..
Cambodia,KHM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.022663076,0.095160051,0.068172612,1.070953761,1.75384,2.30126,1.441695,0.876,0.67645,0.68860716,..
Cambodia,KHM,"Air transport, passengers carried",IS.AIR.PSGR,277725.0543,499981.518,508688.5094,615123.328,1071179,1103880,1047394,1305297,1411059,1429503.73,..
Cambodia,KHM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,5104.722222,7191,7432,11897.04324,14732,12983,11933,14372,14387,14850,..
Cambodia,KHM,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,70000000,80000000,92000000,114000000,126000000,131000000,146000000,178000000,217000000,251000000,..
Cambodia,KHM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,28.6,27.9245283,18.27057183,28.06524184,23.41606793,..,..,..,..,..,..
Cambodia,KHM,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,152000000,174000000,200000000,235000000,267000000,282000000,311000000,385000000,470000000,539000000,..
Cambodia,KHM,Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,..,..,..,..,..,..,..,1000000000,..,..,..
Cambodia,KHM,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.12,..,2.2,..,2.583333,..,2.362919,..,2.14,..,..
Cambodia,KHM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..,..,..,..,..,..,..,1000000000,..,..,..
Cambodia,KHM,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,100,99.90595245,100,..,100,..,..,..,..,..,..
Cambodia,KHM,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,100,99.96308136,100,100,98.54100037,..,..,..,..,..,..
Cambodia,KHM,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,100,100,100,100,100,..,..,..,..,..,..
Cambodia,KHM,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,89.33999634,93.94000244,94.59999847,80.58000183,63.06999969,75.94999695,79.66000366,79.19000244,..,..,..
Cambodia,KHM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,7.337470055,7.335400105,7.199850082,9.59706974,8.791600227,..,..,..,8.838979721,..,..
Cambodia,KHM,"Preprimary education, duration (years)",SE.PRE.DURS,6,6,6,6,6,6,6,6,6,6,..
Cambodia,KHM,"Primary education, duration (years)",SE.PRM.DURS,6,6,6,6,6,6,6,6,6,6,6
Cambodia,KHM,"Primary education, pupils",SE.PRM.ENRL,2272527,2224267,2194716,2224955,2128685,2178916,2105903,2111631,2147313,2163143,..
Cambodia,KHM,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,47.78671,47.63875,47.74581,47.15295,48.03557,49.0537,48.37189,48.22462,48.1383,..,..
Cambodia,KHM,"Primary education, teachers",SE.PRM.TCHR,46905,47033,48002,47413,47691,47866,49511,50684,51490,51578,..
Cambodia,KHM,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,46.21894836,47.51557159,48.93128967,50.0052681,51.17317963,53.32176971,55.24024963,56.62142181,57.45775986,58.17790985,..
Cambodia,KHM,"Secondary education, duration (years)",SE.SEC.DURS,6,6,6,6,6,6,6,6,6,6,6
Cambodia,KHM,"Secondary education, general pupils",SE.SEC.ENRL.GC,925788,910420,881108,849130,835096,839491,861995,905416,955656,..,..
Cambodia,KHM,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,46.27258,46.987,47.57578,48.30309,48.99796,49.86379,50.71143,51.5394,51.7974,..,..
Cambodia,KHM,"Secondary education, pupils",SE.SEC.ENRL,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Secondary education, teachers",SE.SEC.TCHR,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Secondary education, teachers, female",SE.SEC.TCHR.FE,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,0.150000006,..,10.26000023,..,..,..,..,3.059999943,..,..,..
Cambodia,KHM,"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,0.219999999,0.219999999,12.72000027,0.200000003,0.059999999,..,..,6.090000153,..,..,..
Cambodia,KHM,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,2.140000105,..,1.039999962,..,0.910000026,..,..,..,..
Cambodia,KHM,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,..,1.649999976,..,1.309999943,..,..,..,..,..,..
Cambodia,KHM,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.9116993,7.50353098,7.26115417,7.10386801,6.70157766,6.19431591,6.11648464,5.928473,6.02654314,..,..
Cambodia,KHM,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.10.TO,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,51.90946579,59.74187851,60.47090912,61.22215271,58.62177658,57.33106613,58.56040192,60.43587494,57.52603912,..,..
Cambodia,KHM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,44,40.6,37.7,35.3,33.3,31.6,30.1,28.8,27.6,26.6,..
Cambodia,KHM,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,39.3,36.1,33.4,31.3,29.4,28,26.5,25.4,24.4,23.4,..
Cambodia,KHM,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,48.5,45,41.8,39.2,37,35.1,33.5,32,30.7,29.6,..
Cambodia,KHM,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,5.4,5.3,5.2,5.2,5.1,5.1,5.1,5,4.9,4.9,..
Cambodia,KHM,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,3.2,3.1,3.1,3,2.9,2.9,2.9,2.8,2.8,2.8,..
Cambodia,KHM,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,7.7,7.6,7.5,7.4,7.3,7.3,7.4,7.2,7.2,7,..
Cambodia,KHM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,84.56999969,85.37000275,83.02999878,80.41000366,80.09999847,80.01000214,81.76999664,82.13999939,82.05000305,81.94000244,79.11000061
Cambodia,KHM,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,87.93000031,88.79000092,73.70999908,86.33000183,86.09999847,86.06999969,87.55000305,86.75,..,..,..
Cambodia,KHM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,84.09999847,84.94999695,66.94999695,79.87000275,79.73999786,79.29000092,81.15000153,81.29000092,..,..,..
Cambodia,KHM,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,28.2717092,31.0856068,33.92706466,36.79608277,39.69266113,42.61679976,45.56849864,48.30446465,..,..,..
Cambodia,KHM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,37.82055114,40.86575832,43.94478805,47.05730405,50.20439975,53.38575143,56.60150096,59.22696598,..,..,..
Cambodia,KHM,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,75.32423902,78.41731236,81.54660784,84.71212547,87.91386524,91.15182717,94.42601124,95.83492605,..,..,..
Cambodia,KHM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,33.32660248,32.92083588,32.49576096,32.11078392,31.81166026,31.60217908,31.38931462,31.27242861,31.20141476,31.09919594,..
Cambodia,KHM,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,12.30976542,12.55335646,12.5181317,12.31352277,12.07419871,11.89259648,11.63432771,11.47074284,11.37273733,11.27029919,..
Cambodia,KHM,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,11.08758603,11.21725699,11.20378484,11.10725231,10.98449122,10.87559618,10.73305396,10.60453936,10.48434372,10.35034455,..
Cambodia,KHM,"Population ages 0-14, female",SP.POP.0014.FE.IN,2336891,2345230,2354615,2367777,2385830,2408061,2430556,2457258,2485511,2510961,..
Cambodia,KHM,"Population ages 0-14, male",SP.POP.0014.MA.IN,2432882,2441854,2448345,2457292,2473262,2497053,2518444,2549344,2584686,2616224,..
Cambodia,KHM,"Population ages 0-14, total",SP.POP.0014.TO,4769774,4787158,4803021,4825073,4859073,4905112,4948931,5006533,5070167,5127182,..
Cambodia,KHM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,62.9400403,63.2824793,63.64321421,63.95782417,64.1725757,64.2786402,64.35303875,64.31673399,64.22990522,64.18303487,..
Cambodia,KHM,"Population ages 15-64, female",SP.POP.1564.FE.IN,4686761,4781658,4881199,4980278,5074081,5160580,5242361,5317012,5387351,5458265,..
Cambodia,KHM,"Population ages 15-64, male",SP.POP.1564.MA.IN,4321350,4420558,4525590,4630240,4727951,4816386,4903699,4979689,5049865,5123296,..
Cambodia,KHM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,217821,224594,231677,239235,247595,257002,269149,282353,295678,307844,..
Cambodia,KHM,"Population ages 65 and above, total",SP.POP.65UP.TO,534326,552092,570677,590744,613388,639356,671273,706149,742401,777797,..
Cambodia,KHM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,316507,327529,339028,351510,365784,382354,402084,423758,446707,469952,..
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.539208139,1.588817643,1.630429697,1.64984965,1.638083897,1.603706854,1.565227051,1.530261745,1.490355371,1.44639338,..
Cambodia,KHM,Population in largest city,EN.URB.LCTY,1522747,1570791,1620351,1671474,1724211,1778611,1834728,1892615,1952329,2014015,..
Cambodia,KHM,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,1522747,1570791,1620351,1671474,1724211,1778611,1834728,1892615,1952329,2014015,..
Cambodia,KHM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,10.63949444,10.80218215,10.96279587,11.12363283,11.28816434,11.45906216,11.63702844,11.82188805,12.01448166,12.21611542,..
Cambodia,KHM,Urban population,SP.URB.TOTL,2904520,3004694,3109364,3217889,3329689,3443896,3560344,3678963,3800503,3924621,..
Cambodia,KHM,Rural population,SP.RUR.TOTL,11407692,11536729,11671090,11808443,11944814,12077540,12205949,12330451,12449295,12561921,..
Cambodia,KHM,"Population, total",SP.POP.TOTL,14312212,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798,16486542,..
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,6972053,7087006,7205612,7326767,7448808,7570441,7691292,7811386,7930229,8047364,..
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,7340159,7454417,7574842,7699565,7825695,7950995,8075001,8198028,8319569,8439178,..
Cambodia,KHM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,55.09999847,..,47.70000076,..,45.09999847,..,..
