"transaction_id","customer_id","flight_destination","flight_date","n_guests","booking_date","total_spend","flight_type"
45,19,"Domestic",2022-12-03,4,2022-11-07,1000,"One-way"
46,20,"Domestic",2022-11-11,1,2022-10-26,2598.47036112179,"One-way"
47,20,"Domestic",2022-04-24,1,2022-04-11,1000,"One-way"
48,20,"Domestic",2022-11-17,1,2022-10-29,4522.45137622989,"One-way"
49,21,"Short Haul",2022-05-15,1,2022-03-19,3250.49949203685,"One-way"
50,21,"Short Haul",2022-05-09,1,2022-03-16,10817.8951803985,"Round-Trip"
51,21,"Short Haul",2022-05-08,1,2022-02-20,7912.29376570911,"Open Jaw"
52,22,"Long Haul",2022-10-20,3,2022-08-17,23243.9250437256,"One-way"
53,22,"Domestic",2022-12-07,3,2022-11-17,3036.28720539966,"One-way"
54,23,"Domestic",2022-04-28,1,2022-04-16,6657.14793926773,"Round-Trip"
55,24,"Short Haul",2022-05-02,1,2022-03-03,4788.16668164281,"One-way"
56,24,"Domestic",2022-05-05,4,2022-04-22,4180.01493470765,"Round-Trip"
57,24,"Long Haul",2022-11-21,1,2022-09-28,14957.9096779349,"Round-Trip"
58,25,"Domestic",2022-05-19,2,2022-05-04,1337.74610883257,"One-way"
59,26,"Domestic",2022-11-06,2,2022-10-25,4772.05163712124,"One-way"
60,27,"Short Haul",2022-06-12,3,2022-04-15,29305.0894761309,"One-way"
61,27,"Long Haul",2022-11-26,1,2022-09-23,8229.56934287931,"One-way"
62,28,"Domestic",2022-04-18,1,2022-03-31,2021.75154918012,"Open Jaw"
63,29,"Long Haul",2022-11-29,3,2022-09-24,61991.6910857076,"Open Jaw"
64,29,"Long Haul",2022-05-14,2,2022-03-14,25579.0468543407,"One-way"
65,29,"Domestic",2022-12-02,1,2022-11-18,2391.79479811483,"One-way"
66,30,"Short Haul",2022-06-23,1,2022-05-02,7472.32126905075,"One-way"
67,30,"Short Haul",2022-12-01,1,2022-09-24,17686.8327811644,"Round-Trip"
68,31,"Short Haul",2022-05-17,1,2022-03-09,6848.54773833077,"Round-Trip"
69,31,"Domestic",2022-05-25,3,2022-05-01,3540.32768409058,"One-way"
70,31,"Long Haul",2022-11-09,1,2022-09-12,18470.2572993095,"Round-Trip"
71,32,"Domestic",2022-05-26,3,2022-05-16,10741.2815856366,"One-way"
72,33,"Short Haul",2022-11-23,1,2022-10-06,4635.58414897404,"One-way"
73,33,"Long Haul",2022-11-10,3,2022-09-16,33796.3940171517,"One-way"
74,34,"Long Haul",2022-11-30,2,2022-09-21,15767.1079563309,"One-way"
75,35,"Domestic",2022-11-13,1,2022-10-25,4676.85900098337,"One-way"
76,35,"Domestic",2022-11-06,1,2022-10-24,1546.31731200906,"One-way"
77,36,"Short Haul",2022-05-16,3,2022-03-19,12965.7171705453,"One-way"
78,36,"Short Haul",2022-11-24,2,2022-09-24,7933.73175456578,"One-way"
79,36,"Long Haul",2022-12-28,2,2022-11-10,11885.4522154965,"One-way"
80,37,"Domestic",2022-06-07,3,2022-05-27,4013.60510141929,"One-way"
81,38,"Domestic",2022-04-30,1,2022-04-16,1000,"One-way"
82,38,"Short Haul",2022-11-21,1,2022-09-21,6918.316608642,"One-way"
83,39,"Domestic",2022-05-09,1,2022-04-24,1000,"One-way"
84,39,"Long Haul",2022-12-30,2,2022-11-05,21116.3899583844,"One-way"
85,40,"Short Haul",2022-05-23,1,2022-03-06,11529.6295676561,"Round-Trip"
86,40,"Short Haul",2022-04-24,3,2022-02-13,11141.7435195993,"One-way"
87,40,"Domestic",2022-05-02,1,2022-04-15,1000,"Round-Trip"
88,41,"Long Haul",2022-11-12,1,2022-09-15,9250.69487954406,"One-way"
89,42,"Short Haul",2022-05-20,1,2022-03-07,4408.26459178093,"One-way"
90,42,"Long Haul",2022-11-25,1,2022-09-27,26235.3115886417,"Round-Trip"
91,43,"Domestic",2022-05-14,3,2022-04-25,2825.57156636468,"One-way"
92,43,"Domestic",2022-05-20,1,2022-05-03,2442.80082750034,"One-way"
93,43,"Domestic",2022-11-10,8,2022-11-02,4748.46279518581,"One-way"
94,44,"Domestic",2022-11-13,1,2022-10-29,1458.0243883203,"One-way"
95,44,"Short Haul",2022-04-27,1,2022-02-24,9136.50556112717,"Round-Trip"
96,44,"Domestic",2022-12-05,5,2022-11-15,16855.278735377,"Round-Trip"
97,45,"Domestic",2022-11-12,2,2022-10-28,8074.3988395031,"Round-Trip"
98,45,"Domestic",2022-04-25,3,2022-04-09,15607.4514971246,"Round-Trip"
99,46,"Domestic",2022-10-26,3,2022-10-08,11794.4808211729,"Open Jaw"
100,47,"Short Haul",2022-11-10,1,2022-08-28,7040.64176168995,"One-way"
101,47,"Domestic",2022-05-24,1,2022-05-10,1239.66900678669,"One-way"
102,48,"Domestic",2022-05-22,7,2022-05-01,8965.56873338702,"One-way"
103,48,"Domestic",2022-05-25,4,2022-04-22,3852.0250802703,"One-way"
104,49,"Short Haul",2022-11-10,3,2022-09-15,6539.28700736199,"One-way"
105,50,"Short Haul",2022-05-05,1,2022-03-07,13462.0563352215,"Round-Trip"
106,51,"Long Haul",2022-12-10,1,2022-10-21,14864.4683200782,"One-way"
107,52,"Long Haul",2022-12-09,4,2022-10-13,23965.9200776662,"One-way"
108,53,"Domestic",2022-06-12,2,2022-05-29,1489.63420519088,"Round-Trip"
109,53,"Long Haul",2022-11-29,2,2022-10-09,13622.4382378921,"One-way"
110,54,"Short Haul",2022-05-03,1,2022-03-20,4980.94460899163,"One-way"
111,55,"Domestic",2022-10-15,1,2022-09-25,1000,"One-way"
112,55,"Domestic",2022-11-07,1,2022-10-24,1000,"One-way"
113,56,"Domestic",2022-11-09,1,2022-10-21,1070.60823270233,"One-way"
114,56,"Domestic",2022-11-19,6,2022-11-03,29359.1205464591,"Round-Trip"
115,56,"Domestic",2022-12-17,1,2022-11-23,8263.82372636634,"Round-Trip"
116,57,"Long Haul",2022-11-20,3,2022-09-12,43251.6758771047,"Round-Trip"
117,57,"Domestic",2022-11-26,1,2022-11-16,1785.7198757266,"One-way"
118,58,"Short Haul",2022-03-31,1,2022-02-11,6004.28183386117,"One-way"
119,58,"Long Haul",2022-12-21,1,2022-10-17,25908.0822913447,"Open Jaw"
120,59,"Domestic",2022-05-13,1,2022-04-29,6024.51583078326,"Round-Trip"
121,59,"Domestic",2022-09-27,5,2022-09-09,1860.28718732619,"One-way"
122,59,"Domestic",2022-06-19,3,2022-05-31,4826.16778699996,"One-way"
123,59,"Domestic",2022-10-16,3,2022-10-02,11950.3617275622,"Open Jaw"
124,60,"Domestic",2022-11-07,3,2022-10-21,3492.00354792053,"One-way"
125,61,"Long Haul",2022-04-25,4,2022-02-20,39769.5528152793,"One-way"
126,61,"Long Haul",2022-06-08,4,2022-03-31,62804.146115421,"One-way"
127,61,"Domestic",2022-05-21,4,2022-05-10,23584.3911080029,"Open Jaw"
128,61,"Domestic",2022-05-22,5,2022-05-10,5912.98902631105,"Round-Trip"
129,62,"Domestic",2022-05-19,4,2022-05-06,14713.9602953111,"Round-Trip"
130,62,"Short Haul",2022-11-21,3,2022-09-20,13633.3188265154,"One-way"
131,63,"Domestic",2022-05-15,2,2022-04-29,5165.57279916303,"One-way"
132,64,"Short Haul",2022-11-09,1,2022-09-01,5126.65544386179,"One-way"
133,65,"Domestic",2022-05-21,1,2022-05-10,2820.53715910476,"One-way"
134,65,"Short Haul",2022-11-13,1,2022-09-24,12836.6208802449,"Round-Trip"
135,66,"Domestic",2022-04-03,1,2022-03-24,2970.77551204402,"One-way"
136,66,"Long Haul",2022-11-23,1,2022-09-15,19202.5172703047,"Round-Trip"
137,66,"Short Haul",2022-04-11,5,2022-01-31,41484.3263817172,"One-way"
138,67,"Domestic",2022-10-12,3,2022-09-26,2717.87811950638,"One-way"
139,67,"Domestic",2022-12-27,4,2022-12-14,5574.77733566552,"One-way"
140,67,"Short Haul",2022-12-17,3,2022-10-14,28763.2032516135,"Open Jaw"
141,68,"Short Haul",2022-11-10,2,2022-09-12,23546.9782940182,"Round-Trip"
142,69,"Domestic",2022-11-10,3,2022-10-28,16570.9701249826,"Round-Trip"
143,69,"Short Haul",2022-05-05,1,2022-03-03,4085.51430887743,"One-way"
144,70,"Domestic",2022-12-14,1,2022-11-30,3508.24361955326,"One-way"
145,71,"Long Haul",2022-04-14,4,2022-02-14,122237.308242229,"Round-Trip"
146,71,"Domestic",2022-11-10,3,2022-10-24,8507.49841007109,"Open Jaw"
147,71,"Domestic",2022-12-17,2,2022-12-01,4026.63546690476,"One-way"
148,72,"Short Haul",2022-04-30,1,2022-03-08,7406.10696465866,"One-way"
149,73,"Domestic",2022-10-29,1,2022-10-15,4892.42141313943,"Round-Trip"
150,73,"Domestic",2022-11-28,7,2022-11-07,16636.3338692824,"One-way"
151,73,"Domestic",2022-11-03,3,2022-10-15,2079.14420160979,"One-way"
152,74,"Long Haul",2022-12-05,1,2022-09-23,21301.586795595,"Open Jaw"
153,74,"Short Haul",2022-10-28,4,2022-08-24,34184.3487561534,"One-way"
154,75,"Short Haul",2022-11-21,1,2022-09-22,11063.88078627,"Open Jaw"
155,75,"Domestic",2022-05-19,1,2022-05-10,2032.19862880723,"One-way"
156,75,"Short Haul",2022-05-14,1,2022-03-10,8863.91453680697,"Round-Trip"
157,76,"Short Haul",2022-11-17,6,2022-09-27,42616.6772315637,"One-way"
158,77,"Domestic",2022-05-27,3,2022-05-04,5418.69041539207,"One-way"
159,77,"Long Haul",2022-11-26,2,2022-10-13,16155.770861793,"One-way"
160,78,"Domestic",2022-05-02,5,2022-04-21,6794.91804553447,"One-way"
161,78,"Domestic",2022-04-24,4,2022-04-10,6761.22945540127,"One-way"
162,79,"Domestic",2022-06-04,1,2022-05-18,1000,"One-way"
163,80,"Short Haul",2022-11-14,2,2022-09-06,29410.1120108084,"Round-Trip"
164,80,"Domestic",2022-04-10,3,2022-03-18,1967.64486615082,"One-way"
165,80,"Long Haul",2022-04-30,3,2022-03-02,22397.9769158647,"One-way"
166,81,"Domestic",2022-05-15,3,2022-04-23,8026.24259768568,"One-way"
167,81,"Domestic",2022-11-02,1,2022-10-16,2647.10746591297,"Open Jaw"
168,81,"Domestic",2022-11-25,1,2022-11-12,4921.26421080849,"Open Jaw"
169,82,"Short Haul",2022-05-12,1,2022-03-03,6862.79296516466,"Round-Trip"
170,82,"Long Haul",2022-11-05,3,2022-09-18,72313.3630800883,"Round-Trip"
171,83,"Domestic",2022-04-07,1,2022-03-24,6734.36865385782,"Round-Trip"
172,84,"Short Haul",2022-11-30,1,2022-09-20,10570.6897871797,"Round-Trip"
173,84,"Domestic",2022-06-08,3,2022-05-26,4278.30499801682,"One-way"
174,85,"Short Haul",2022-11-22,1,2022-10-06,10408.9035826185,"Round-Trip"
175,85,"Domestic",2022-05-21,1,2022-05-03,5824.16541996595,"Round-Trip"
176,85,"Long Haul",2022-11-22,1,2022-09-22,12532.0115276494,"One-way"
177,86,"Domestic",2022-11-14,4,2022-10-29,1194.62364053007,"One-way"
178,86,"Long Haul",2022-12-14,4,2022-10-24,27999.5667857113,"One-way"
179,86,"Short Haul",2022-12-20,3,2022-10-25,21287.0480121484,"Round-Trip"
180,87,"Short Haul",2022-05-16,3,2022-03-26,28778.8266498616,"Open Jaw"
181,87,"Domestic",2022-05-14,1,2022-05-01,1282.12463526068,"Round-Trip"
182,88,"Domestic",2022-10-22,1,2022-10-07,1000,"One-way"
183,89,"Long Haul",2022-11-07,3,2022-09-11,23342.5552793843,"One-way"
184,89,"Domestic",2022-10-25,1,2022-10-11,4639.93143101984,"Round-Trip"
185,90,"Domestic",2022-11-02,1,2022-10-24,4779.51422282309,"Round-Trip"
186,90,"Domestic",2022-12-03,1,2022-11-23,2546.05389144503,"Round-Trip"
187,91,"Long Haul",2022-11-29,1,2022-10-14,9542.53582129121,"One-way"
188,91,"Long Haul",2022-06-15,1,2022-04-08,10215.6477854736,"One-way"
189,92,"Domestic",2022-11-02,1,2022-10-14,1000,"One-way"
190,92,"Long Haul",2022-06-01,1,2022-03-26,16842.8504085812,"Open Jaw"
191,92,"Short Haul",2022-04-16,1,2022-02-24,3904.02180192047,"One-way"
192,92,"Domestic",2022-12-21,3,2022-12-06,12713.2011397403,"Round-Trip"
193,92,"Domestic",2022-06-05,1,2022-05-19,3687.45244337757,"One-way"
194,92,"Long Haul",2022-11-22,1,2022-09-05,14269.8655005963,"One-way"
195,93,"Domestic",2022-11-11,5,2022-10-29,1397.14141634654,"One-way"
196,93,"Domestic",2022-11-19,3,2022-11-07,9167.41892034765,"One-way"
197,94,"Domestic",2022-04-26,2,2022-04-18,8432.52312360763,"One-way"
198,94,"Domestic",2022-05-27,1,2022-05-13,1073.79571374739,"One-way"
199,95,"Short Haul",2022-05-11,1,2022-03-03,13748.7412530457,"Round-Trip"
200,95,"Short Haul",2022-05-09,3,2022-03-05,27608.8675703805,"One-way"
201,96,"Long Haul",2022-05-16,1,2022-03-23,5826.25624044935,"One-way"
202,96,"Short Haul",2022-11-16,1,2022-09-08,6882.15993606175,"One-way"
203,97,"Short Haul",2022-10-29,1,2022-09-04,8583.62932512167,"Round-Trip"
204,98,"Domestic",2022-11-16,1,2022-11-01,1000,"One-way"
205,99,"Domestic",2022-11-02,1,2022-10-22,1913.91675995874,"Round-Trip"
206,100,"Domestic",2022-11-06,1,2022-10-21,1000,"One-way"
207,100,"Domestic",2022-04-16,1,2022-03-31,2041.53928349281,"One-way"
208,101,"Domestic",2022-12-10,1,2022-11-27,2249.97696633445,"One-way"
209,101,"Domestic",2022-11-07,1,2022-10-26,4300.90832847536,"One-way"
210,102,"Domestic",2022-06-16,2,2022-05-31,1978.47925968359,"One-way"
211,102,"Short Haul",2022-04-07,2,2022-01-27,13978.0250731331,"Round-Trip"
212,103,"Domestic",2022-11-23,1,2022-11-09,3039.06058244221,"Open Jaw"
213,104,"Long Haul",2022-04-22,3,2022-03-06,26685.4938495833,"One-way"
214,105,"Short Haul",2022-05-22,1,2022-03-13,7015.43996470893,"One-way"
215,106,"Domestic",2022-12-26,1,2022-12-17,2744.45101347837,"One-way"
216,107,"Domestic",2022-10-12,2,2022-09-27,5851.40169364095,"One-way"
217,107,"Long Haul",2022-10-22,1,2022-08-19,21105.2951295093,"Round-Trip"
218,107,"Short Haul",2022-06-28,1,2022-04-15,10753.0531600585,"Round-Trip"
219,108,"Domestic",2022-11-16,1,2022-10-31,1000,"One-way"
220,109,"Long Haul",2022-11-06,1,2022-09-10,14446.2381136345,"One-way"
221,109,"Domestic",2022-04-20,1,2022-04-07,1708.22566331339,"One-way"
222,109,"Domestic",2022-12-02,4,2022-11-18,16978.8981712426,"Round-Trip"
223,110,"Long Haul",2022-11-06,1,2022-09-06,14687.6939020743,"Round-Trip"
224,111,"Domestic",2022-11-21,1,2022-11-08,1312.37868115009,"Round-Trip"
225,111,"Short Haul",2022-11-18,1,2022-09-10,17750.3260470118,"Round-Trip"
226,112,"Domestic",2022-05-18,1,2022-05-10,3001.85159090031,"Round-Trip"
227,113,"Domestic",2022-11-29,1,2022-11-10,2335.38379940013,"One-way"
228,114,"Long Haul",2022-10-15,3,2022-08-30,21821.1906603186,"One-way"
229,114,"Domestic",2022-04-21,2,2022-04-08,1889.99626878879,"One-way"
230,114,"Domestic",2022-05-11,1,2022-04-27,5567.98969236785,"Round-Trip"
231,115,"Domestic",2022-05-26,1,2022-05-10,3245.41757682818,"Round-Trip"
232,116,"Long Haul",2022-05-25,3,2022-03-29,43773.0521980572,"One-way"
233,116,"Long Haul",2022-04-17,1,2022-02-27,14745.4221659471,"One-way"
234,117,"Domestic",2022-11-13,1,2022-10-26,5455.18616292501,"Round-Trip"
235,117,"Domestic",2022-11-29,3,2022-11-13,4593.1362378215,"One-way"
236,118,"Long Haul",2022-12-30,2,2022-11-05,44342.1430700766,"Round-Trip"
237,118,"Domestic",2022-04-03,2,2022-03-17,3188.10392003565,"One-way"
238,119,"Short Haul",2022-05-02,1,2022-02-22,6981.49646023695,"One-way"
239,119,"Short Haul",2022-11-12,3,2022-08-31,22460.4260810308,"One-way"
240,119,"Domestic",2022-10-25,1,2022-10-12,1186.57634170128,"One-way"
241,120,"Domestic",2022-11-01,1,2022-10-12,3169.68726000653,"Round-Trip"
242,120,"Domestic",2022-05-03,1,2022-04-13,1000,"One-way"
243,120,"Domestic",2022-10-30,1,2022-10-20,8657.98404516706,"Round-Trip"
244,121,"Long Haul",2022-05-21,5,2022-04-06,38776.4625432813,"One-way"
245,121,"Domestic",2022-11-18,1,2022-11-04,1000,"One-way"
246,122,"Domestic",2022-12-19,1,2022-12-05,1262.95212432122,"One-way"
247,122,"Long Haul",2022-06-03,1,2022-04-02,7781.56878146229,"One-way"
248,122,"Domestic",2022-04-04,3,2022-03-15,6980.37960198085,"One-way"
249,123,"Domestic",2022-11-04,5,2022-10-15,29769.0812312302,"Round-Trip"
250,123,"Domestic",2022-05-08,3,2022-04-21,2540.05384824988,"One-way"
251,124,"Domestic",2022-11-14,2,2022-10-29,2269.51902959495,"One-way"
252,125,"Long Haul",2022-05-25,2,2022-03-17,17969.6221668231,"One-way"
253,125,"Domestic",2022-10-16,1,2022-09-29,2200.45325216175,"One-way"
254,126,"Domestic",2022-11-25,4,2022-11-06,18904.168312814,"Round-Trip"
255,126,"Domestic",2022-05-28,1,2022-05-17,2444.20842095665,"One-way"
256,126,"Short Haul",2022-05-19,5,2022-03-16,58837.8142648535,"Round-Trip"
257,127,"Domestic",2022-04-24,1,2022-04-19,2711.60067081474,"Round-Trip"
258,128,"Domestic",2022-01-04,1,2021-12-13,1000,"One-way"
259,128,"Short Haul",2022-12-01,1,2022-09-30,13314.9756541757,"Round-Trip"
260,129,"Domestic",2022-09-26,1,2022-09-13,4119.34868949984,"One-way"
261,130,"Short Haul",2022-11-14,1,2022-09-15,11679.8326385873,"Round-Trip"
262,130,"Domestic",2022-04-16,1,2022-04-05,1634.21645165912,"One-way"
263,131,"Domestic",2022-10-31,1,2022-10-17,4291.59208988085,"Round-Trip"
264,131,"Long Haul",2022-11-19,1,2022-09-22,15597.2434979813,"One-way"
265,132,"Domestic",2022-05-17,2,2022-05-03,3605.67306743812,"Round-Trip"
266,132,"Long Haul",2022-05-06,4,2022-03-11,48105.1494150847,"One-way"
267,133,"Domestic",2022-10-28,3,2022-10-14,3038.49019832608,"Round-Trip"
268,134,"Domestic",2022-06-16,2,2022-05-27,4346.07742554398,"One-way"
269,134,"Short Haul",2022-12-30,1,2022-10-28,5969.52790420514,"One-way"
270,135,"Long Haul",2022-05-14,3,2022-03-20,15805.6522505589,"One-way"
271,135,"Domestic",2022-11-06,1,2022-10-29,2954.89750601435,"One-way"
272,136,"Domestic",2022-11-18,3,2022-11-04,2789.86590788702,"One-way"
273,137,"Domestic",2022-11-12,1,2022-10-31,3033.64833578034,"One-way"
274,137,"Domestic",2022-11-14,3,2022-10-27,5581.09009005682,"One-way"
275,138,"Short Haul",2022-11-02,1,2022-09-09,6297.95690131249,"One-way"
276,138,"Long Haul",2022-06-03,4,2022-04-01,57307.4777328111,"Open Jaw"
277,139,"Short Haul",2022-11-19,5,2022-09-13,58471.7211743379,"Round-Trip"
278,139,"Domestic",2022-10-09,3,2022-09-24,5475.56397782015,"One-way"
279,140,"Domestic",2022-12-09,1,2022-11-24,1545.90682593548,"One-way"
280,140,"Domestic",2022-11-04,3,2022-10-15,10913.9568325418,"Open Jaw"
281,141,"Domestic",2022-12-07,3,2022-11-21,1625.09991389217,"One-way"
282,141,"Long Haul",2022-04-28,2,2022-03-09,48824.5328041742,"Open Jaw"
283,141,"Long Haul",2022-11-02,4,2022-09-14,52357.2092124752,"One-way"
284,142,"Long Haul",2022-11-10,6,2022-09-11,45660.349134734,"One-way"
285,143,"Domestic",2022-12-10,4,2022-11-26,3398.07514505764,"One-way"
286,143,"Domestic",2022-11-06,1,2022-10-26,1706.53781325189,"One-way"
287,143,"Long Haul",2022-10-24,3,2022-08-28,43258.4871357791,"Round-Trip"
288,143,"Short Haul",2022-05-09,1,2022-02-24,10986.0575307789,"Open Jaw"
289,144,"Domestic",2022-04-27,1,2022-04-05,1242.53981596547,"One-way"
290,144,"Domestic",2022-12-03,1,2022-11-25,2440.81101710171,"Round-Trip"
291,144,"Short Haul",2022-05-09,1,2022-03-15,8916.49650632052,"One-way"
292,145,"Domestic",2022-05-11,3,2022-04-24,4376.09602267006,"One-way"
293,145,"Domestic",2022-06-03,3,2022-05-11,1872.45359787711,"One-way"
294,146,"Domestic",2022-12-21,1,2022-12-02,2592.19327395268,"Round-Trip"
295,146,"Domestic",2022-06-02,1,2022-05-25,1594.28120840345,"Round-Trip"
296,147,"Short Haul",2022-12-11,1,2022-10-17,10160.0460302353,"Open Jaw"
297,148,"Domestic",2022-04-22,1,2022-04-10,1504.49399225226,"One-way"
298,149,"Domestic",2022-11-02,1,2022-10-22,1000,"One-way"
299,149,"Domestic",2022-11-16,3,2022-11-02,8601.40842626007,"Round-Trip"
300,150,"Domestic",2022-11-24,3,2022-11-07,4640.37631717408,"One-way"
301,150,"Domestic",2022-05-02,1,2022-04-15,1000,"One-way"
302,151,"Domestic",2022-10-30,5,2022-10-17,19969.6207527764,"Round-Trip"
303,151,"Short Haul",2022-11-02,4,2022-08-31,26716.3418414286,"One-way"
304,151,"Domestic",2022-04-14,3,2022-04-02,3557.79715826733,"One-way"
305,152,"Domestic",2022-11-26,5,2022-11-08,2045.74827371897,"One-way"
306,153,"Short Haul",2022-10-30,1,2022-09-01,11011.6105577795,"Round-Trip"
307,153,"Domestic",2022-11-24,1,2022-11-02,5919.21457215509,"Round-Trip"
308,154,"Short Haul",2022-11-26,4,2022-10-02,25767.6663406192,"One-way"
309,155,"Short Haul",2022-11-08,1,2022-09-19,9311.22717685743,"Round-Trip"
310,156,"Domestic",2022-04-19,3,2022-04-06,14915.0565374441,"Open Jaw"
311,156,"Domestic",2022-11-01,1,2022-10-17,1054.76093519679,"One-way"
312,157,"Short Haul",2022-04-25,3,2022-02-20,14061.8745345032,"One-way"
313,158,"Short Haul",2022-05-10,3,2022-03-14,39835.1093188953,"Round-Trip"
314,158,"Long Haul",2022-10-25,1,2022-09-04,8705.2334724279,"One-way"
315,159,"Short Haul",2022-05-01,2,2022-03-06,23098.5147915695,"One-way"
316,160,"Long Haul",2022-06-02,3,2022-03-26,42121.2776868923,"One-way"
317,160,"Long Haul",2022-10-18,4,2022-08-19,28529.3639275452,"One-way"
318,161,"Short Haul",2022-10-16,3,2022-08-17,31108.0971751397,"Round-Trip"
319,162,"Domestic",2022-12-29,1,2022-12-13,2144.81784239038,"One-way"
320,163,"Domestic",2022-06-02,3,2022-05-17,3508.67612615479,"One-way"
321,163,"Long Haul",2022-05-29,1,2022-04-04,20153.7158194471,"Round-Trip"
322,163,"Domestic",2022-10-18,3,2022-09-28,1595.37623053572,"One-way"
323,163,"Domestic",2022-04-26,3,2022-04-18,20671.7142002951,"Open Jaw"
324,164,"Domestic",2022-12-04,4,2022-11-15,10304.2800508355,"One-way"
325,164,"Domestic",2022-10-20,1,2022-10-07,2433.80664840253,"One-way"
326,165,"Domestic",2022-05-01,1,2022-04-11,2805.02547064877,"One-way"
327,165,"Long Haul",2022-11-06,2,2022-08-28,14996.3577066005,"One-way"
328,166,"Short Haul",2022-11-21,3,2022-09-29,58847.8831422711,"Round-Trip"
329,167,"Domestic",2022-04-30,1,2022-04-13,1576.57881044829,"One-way"
330,168,"Short Haul",2022-11-14,1,2022-09-13,5952.23947483124,"One-way"
331,169,"Domestic",2022-05-29,2,2022-05-09,1290.52074423887,"One-way"
332,170,"Domestic",2022-10-12,1,2022-09-25,3173.81086339888,"One-way"
333,170,"Domestic",2022-05-08,4,2022-04-21,21266.5223560142,"Round-Trip"
334,171,"Short Haul",2022-10-21,1,2022-08-24,6126.57122155434,"Round-Trip"
335,172,"Short Haul",2022-05-13,1,2022-03-12,13530.4949342602,"Round-Trip"
336,172,"Long Haul",2022-04-06,1,2022-02-01,9073.45807189102,"One-way"
337,173,"Long Haul",2022-06-08,1,2022-04-09,30698.6916668605,"Round-Trip"
