"customer_id","age","sex","region","major_region","married","no_of_children"
146,35,"M","Region 4 - CALABARZON","Luzon",FALSE,0
147,15,"M","MIMAROPA","Luzon",FALSE,0
148,38,"F","Region 3 - Central Luzon","Luzon",FALSE,0
149,39,"M","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
150,31,"M","Region 4 - CALABARZON","Luzon",FALSE,0
151,15,"M","Region 12 - SOCCKSARGEN","Mindanao",TRUE,0
152,35,"F","Region 6 - W. Visayas","Visayas",TRUE,0
153,32,"F","CAR","Luzon",FALSE,0
154,22,"F","MIMAROPA","Luzon",FALSE,0
155,29,"F","Region 4 - CALABARZON","Luzon",FALSE,0
156,27,"M","Region 1 - Ilocos","Luzon",FALSE,0
157,47,"M","NCR","Luzon",TRUE,0
158,27,"F","Region 3 - Central Luzon","Luzon",FALSE,0
159,31,"F","NCR","Luzon",TRUE,2
160,23,"M","Region 3 - Central Luzon","Luzon",TRUE,1
161,25,"F","Region 3 - Central Luzon","Luzon",FALSE,0
162,33,"Other","Region 3 - Central Luzon","Luzon",FALSE,0
163,28,"F","MIMAROPA","Luzon",TRUE,0
164,25,"M","Region 1 - Ilocos","Luzon",TRUE,0
165,20,"F","Region 4 - CALABARZON","Luzon",TRUE,2
166,27,"F","Region 10 - N. Mindanao","Mindanao",FALSE,0
167,36,"F","NCR","Luzon",FALSE,0
168,18,"M","Region 4 - CALABARZON","Luzon",FALSE,0
169,48,"F","Region 13 - Caraga","Mindanao",TRUE,1
170,30,"M","BARMM","Mindanao",TRUE,1
171,32,"M","Region 10 - N. Mindanao","Mindanao",FALSE,0
172,43,"F","Region 6 - W. Visayas","Visayas",FALSE,0
173,30,"M","Region 4 - CALABARZON","Luzon",TRUE,1
174,38,"F","CAR","Luzon",TRUE,0
175,15,"F","Region 7 - C. Visayas","Visayas",FALSE,0
176,35,"F","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
177,55,"F","BARMM","Mindanao",FALSE,0
178,34,"F","Region 10 - N. Mindanao","Mindanao",TRUE,0
179,32,"Other","Region 6 - W. Visayas","Visayas",TRUE,1
180,15,"F","NCR","Luzon",FALSE,0
181,21,"M","Region 3 - Central Luzon","Luzon",FALSE,0
182,30,"M","Region 4 - CALABARZON","Luzon",FALSE,0
183,26,"F","Region 1 - Ilocos","Luzon",FALSE,0
184,41,"M","Region 11 - Davao","Mindanao",FALSE,0
185,38,"M","Region 4 - CALABARZON","Luzon",FALSE,0
186,31,"Other","Region 4 - CALABARZON","Luzon",TRUE,0
187,45,"F","Region 7 - C. Visayas","Visayas",TRUE,0
188,34,"F","BARMM","Mindanao",FALSE,0
189,28,"F","Region 6 - W. Visayas","Visayas",FALSE,0
190,25,"F","Region 5 - Bicol","Luzon",FALSE,0
191,35,"M","Region 1 - Ilocos","Luzon",FALSE,1
192,25,"M","Region 7 - C. Visayas","Visayas",FALSE,0
193,38,"M","NCR","Luzon",FALSE,0
194,33,"M","Region 3 - Central Luzon","Luzon",TRUE,0
195,43,"M","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
196,38,"M","Region 1 - Ilocos","Luzon",FALSE,0
197,39,"M","Region 7 - C. Visayas","Visayas",FALSE,0
198,26,"M","Region 4 - CALABARZON","Luzon",TRUE,1
199,26,"M","Region 3 - Central Luzon","Luzon",FALSE,0
200,30,"M","Region 1 - Ilocos","Luzon",FALSE,0
201,16,"F","Region 4 - CALABARZON","Luzon",FALSE,0
202,24,"F","Region 6 - W. Visayas","Visayas",FALSE,0
203,32,"M","Region 4 - CALABARZON","Luzon",TRUE,2
204,41,"M","Region 7 - C. Visayas","Visayas",FALSE,0
205,38,"M","Region 7 - C. Visayas","Visayas",FALSE,0
206,31,"M","Region 9 - Zamboanga","Mindanao",TRUE,1
207,15,"F","BARMM","Mindanao",FALSE,0
208,36,"M","Region 3 - Central Luzon","Luzon",FALSE,0
209,31,"F","Region 3 - Central Luzon","Luzon",TRUE,0
210,29,"M","Region 4 - CALABARZON","Luzon",FALSE,3
211,40,"Other","Region 4 - CALABARZON","Luzon",TRUE,0
212,21,"F","Region 3 - Central Luzon","Luzon",FALSE,0
213,27,"F","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
214,51,"F","Region 3 - Central Luzon","Luzon",TRUE,0
215,24,"F","Region 9 - Zamboanga","Mindanao",TRUE,0
216,33,"M","NCR","Luzon",TRUE,2
217,37,"M","Region 5 - Bicol","Luzon",TRUE,1
218,15,"M","Region 11 - Davao","Mindanao",FALSE,0
219,15,"M","NCR","Luzon",FALSE,0
220,31,"M","NCR","Luzon",FALSE,0
221,39,"F","Region 9 - Zamboanga","Mindanao",FALSE,2
222,15,"F","Region 1 - Ilocos","Luzon",FALSE,0
223,28,"F","Region 3 - Central Luzon","Luzon",TRUE,1
224,27,"M","Region 6 - W. Visayas","Visayas",TRUE,0
225,48,"F","Region 6 - W. Visayas","Visayas",FALSE,0
226,37,"M","NCR","Luzon",FALSE,0
227,28,"M","Region 8 - E. Visayas","Visayas",FALSE,0
228,30,"M","Region 2 - Cagayan","Luzon",TRUE,0
229,45,"M","MIMAROPA","Luzon",TRUE,0
230,31,"M","Region 4 - CALABARZON","Luzon",TRUE,0
231,31,"F","Region 3 - Central Luzon","Luzon",FALSE,0
232,22,"M","Region 3 - Central Luzon","Luzon",FALSE,0
233,32,"F","Region 4 - CALABARZON","Luzon",FALSE,0
234,33,"M","MIMAROPA","Luzon",FALSE,0
235,39,"F","NCR","Luzon",FALSE,0
236,25,"F","Region 12 - SOCCKSARGEN","Mindanao",TRUE,0
237,38,"M","Region 3 - Central Luzon","Luzon",TRUE,1
238,24,"Other","Region 1 - Ilocos","Luzon",FALSE,0
239,36,"M","Region 6 - W. Visayas","Visayas",FALSE,0
240,32,"M","Region 6 - W. Visayas","Visayas",TRUE,1
241,23,"M","Region 9 - Zamboanga","Mindanao",FALSE,0
242,24,"M","Region 9 - Zamboanga","Mindanao",FALSE,0
243,27,"F","Region 5 - Bicol","Luzon",FALSE,0
244,19,"F","Region 7 - C. Visayas","Visayas",FALSE,0
245,29,"F","NCR","Luzon",FALSE,0
246,38,"M","Region 6 - W. Visayas","Visayas",TRUE,0
247,57,"M","Region 5 - Bicol","Luzon",TRUE,0
248,29,"F","NCR","Luzon",TRUE,0
249,35,"M","Region 7 - C. Visayas","Visayas",FALSE,2
250,38,"F","Region 5 - Bicol","Luzon",FALSE,0
251,22,"F","Region 2 - Cagayan","Luzon",FALSE,0
252,40,"M","Region 10 - N. Mindanao","Mindanao",TRUE,0
253,35,"F","Region 3 - Central Luzon","Luzon",TRUE,2
254,16,"F","Region 3 - Central Luzon","Luzon",FALSE,1
255,27,"M","Region 6 - W. Visayas","Visayas",FALSE,0
256,36,"M","BARMM","Mindanao",FALSE,0
257,26,"F","Region 6 - W. Visayas","Visayas",FALSE,0
258,25,"Other","Region 3 - Central Luzon","Luzon",FALSE,0
259,22,"F","BARMM","Mindanao",FALSE,0
260,18,"M","Region 7 - C. Visayas","Visayas",FALSE,0
261,37,"F","NCR","Luzon",FALSE,0
262,43,"M","Region 5 - Bicol","Luzon",TRUE,0
263,29,"F","Region 3 - Central Luzon","Luzon",TRUE,1
264,25,"M","Region 6 - W. Visayas","Visayas",FALSE,0
265,45,"F","Region 11 - Davao","Mindanao",FALSE,0
266,28,"M","Region 8 - E. Visayas","Visayas",FALSE,0
267,30,"F","Region 1 - Ilocos","Luzon",FALSE,0
268,35,"M","Region 4 - CALABARZON","Luzon",FALSE,0
269,18,"F","Region 12 - SOCCKSARGEN","Mindanao",TRUE,0
270,23,"F","Region 3 - Central Luzon","Luzon",FALSE,0
271,24,"F","Region 4 - CALABARZON","Luzon",FALSE,0
272,23,"M","Region 6 - W. Visayas","Visayas",TRUE,0
273,36,"F","CAR","Luzon",FALSE,0
274,15,"F","Region 5 - Bicol","Luzon",TRUE,0
275,33,"M","MIMAROPA","Luzon",FALSE,0
276,41,"M","Region 13 - Caraga","Mindanao",FALSE,0
277,30,"M","Region 3 - Central Luzon","Luzon",TRUE,0
278,27,"F","NCR","Luzon",TRUE,1
279,20,"M","BARMM","Mindanao",TRUE,1
280,35,"F","Region 12 - SOCCKSARGEN","Mindanao",TRUE,0
281,15,"M","BARMM","Mindanao",FALSE,0
282,32,"F","Region 11 - Davao","Mindanao",TRUE,0
283,21,"M","NCR","Luzon",FALSE,0
284,46,"M","NCR","Luzon",FALSE,0
285,36,"F","NCR","Luzon",TRUE,1
286,34,"F","Region 12 - SOCCKSARGEN","Mindanao",TRUE,1
287,31,"M","Region 4 - CALABARZON","Luzon",TRUE,0
288,23,"F","Region 3 - Central Luzon","Luzon",FALSE,0
289,40,"F","NCR","Luzon",FALSE,0
290,38,"M","NCR","Luzon",TRUE,0
291,26,"F","NCR","Luzon",TRUE,0
292,23,"F","NCR","Luzon",TRUE,0
293,28,"M","Region 2 - Cagayan","Luzon",TRUE,0
294,34,"M","NCR","Luzon",TRUE,1
295,20,"F","Region 3 - Central Luzon","Luzon",TRUE,0
296,32,"F","Region 7 - C. Visayas","Visayas",FALSE,0
297,15,"Other","NCR","Luzon",TRUE,0
298,24,"M","Region 8 - E. Visayas","Visayas",FALSE,0
299,22,"F","Region 13 - Caraga","Mindanao",TRUE,0
300,35,"F","Region 7 - C. Visayas","Visayas",TRUE,1
301,35,"M","Region 13 - Caraga","Mindanao",TRUE,1
302,30,"F","Region 6 - W. Visayas","Visayas",FALSE,0
303,26,"M","BARMM","Mindanao",TRUE,1
304,42,"F","Region 3 - Central Luzon","Luzon",FALSE,0
305,29,"M","Region 8 - E. Visayas","Visayas",FALSE,0
306,30,"F","BARMM","Mindanao",FALSE,0
307,42,"M","Region 4 - CALABARZON","Luzon",TRUE,0
308,33,"F","Region 10 - N. Mindanao","Mindanao",FALSE,0
309,27,"F","Region 7 - C. Visayas","Visayas",TRUE,0
310,47,"F","Region 1 - Ilocos","Luzon",TRUE,1
311,21,"M","Region 3 - Central Luzon","Luzon",FALSE,0
312,29,"M","Region 5 - Bicol","Luzon",FALSE,0
313,43,"M","Region 2 - Cagayan","Luzon",FALSE,0
314,47,"M","Region 9 - Zamboanga","Mindanao",TRUE,0
315,52,"M","NCR","Luzon",TRUE,0
316,27,"M","Region 1 - Ilocos","Luzon",FALSE,0
317,24,"M","CAR","Luzon",FALSE,0
318,16,"M","Region 4 - CALABARZON","Luzon",FALSE,1
319,53,"F","Region 4 - CALABARZON","Luzon",FALSE,0
320,22,"M","MIMAROPA","Luzon",FALSE,1
321,34,"M","Region 6 - W. Visayas","Visayas",TRUE,2
322,36,"M","Region 4 - CALABARZON","Luzon",TRUE,3
323,40,"F","Region 8 - E. Visayas","Visayas",FALSE,0
324,35,"F","Region 4 - CALABARZON","Luzon",TRUE,0
325,15,"M","Region 3 - Central Luzon","Luzon",TRUE,0
326,39,"Other","Region 6 - W. Visayas","Visayas",FALSE,0
327,35,"M","Region 13 - Caraga","Mindanao",FALSE,0
328,34,"F","BARMM","Mindanao",FALSE,0
329,23,"F","Region 2 - Cagayan","Luzon",TRUE,1
330,40,"F","Region 4 - CALABARZON","Luzon",FALSE,0
331,44,"F","Region 9 - Zamboanga","Mindanao",TRUE,0
332,35,"F","Region 11 - Davao","Mindanao",TRUE,0
333,33,"F","Region 4 - CALABARZON","Luzon",FALSE,0
334,39,"F","Region 3 - Central Luzon","Luzon",FALSE,0
335,34,"F","Region 3 - Central Luzon","Luzon",FALSE,0
336,34,"M","Region 3 - Central Luzon","Luzon",FALSE,0
337,15,"M","Region 3 - Central Luzon","Luzon",FALSE,0
338,45,"F","Region 8 - E. Visayas","Visayas",FALSE,0
339,35,"F","NCR","Luzon",TRUE,0
340,35,"M","Region 11 - Davao","Mindanao",TRUE,6
341,51,"M","Region 3 - Central Luzon","Luzon",TRUE,0
342,27,"F","Region 10 - N. Mindanao","Mindanao",TRUE,3
343,40,"F","Region 12 - SOCCKSARGEN","Mindanao",TRUE,0
344,35,"M","Region 11 - Davao","Mindanao",FALSE,0
345,29,"F","Region 10 - N. Mindanao","Mindanao",FALSE,2
346,29,"M","Region 4 - CALABARZON","Luzon",FALSE,5
347,18,"M","Region 3 - Central Luzon","Luzon",TRUE,1
348,35,"F","NCR","Luzon",FALSE,0
349,15,"M","MIMAROPA","Luzon",FALSE,0
350,38,"F","Region 6 - W. Visayas","Visayas",FALSE,0
351,33,"M","Region 8 - E. Visayas","Visayas",TRUE,0
352,29,"M","Region 1 - Ilocos","Luzon",FALSE,0
353,15,"F","Region 9 - Zamboanga","Mindanao",FALSE,0
354,19,"M","Region 11 - Davao","Mindanao",TRUE,0
355,41,"M","Region 8 - E. Visayas","Visayas",TRUE,1
356,26,"F","Region 5 - Bicol","Luzon",FALSE,0
357,34,"M","Region 3 - Central Luzon","Luzon",TRUE,0
358,30,"M","NCR","Luzon",FALSE,0
359,35,"F","CAR","Luzon",FALSE,0
360,21,"M","Region 2 - Cagayan","Luzon",TRUE,0
361,26,"Other","NCR","Luzon",FALSE,0
362,15,"F","Region 3 - Central Luzon","Luzon",TRUE,2
363,33,"F","Region 4 - CALABARZON","Luzon",FALSE,0
364,28,"F","Region 5 - Bicol","Luzon",FALSE,0
365,30,"F","Region 6 - W. Visayas","Visayas",TRUE,0
366,37,"F","Region 7 - C. Visayas","Visayas",TRUE,0
367,33,"F","Region 3 - Central Luzon","Luzon",FALSE,0
368,47,"F","Region 1 - Ilocos","Luzon",TRUE,0
369,37,"M","Region 5 - Bicol","Luzon",FALSE,0
370,27,"M","Region 8 - E. Visayas","Visayas",FALSE,0
371,29,"F","Region 6 - W. Visayas","Visayas",FALSE,0
372,47,"F","Region 6 - W. Visayas","Visayas",TRUE,1
373,35,"M","Region 4 - CALABARZON","Luzon",FALSE,0
374,36,"F","Region 7 - C. Visayas","Visayas",FALSE,0
375,37,"F","Region 10 - N. Mindanao","Mindanao",FALSE,0
376,22,"F","Region 3 - Central Luzon","Luzon",TRUE,3
377,42,"M","Region 4 - CALABARZON","Luzon",TRUE,0
378,15,"F","NCR","Luzon",TRUE,0
379,38,"M","Region 11 - Davao","Mindanao",FALSE,0
380,53,"F","Region 7 - C. Visayas","Visayas",FALSE,0
381,25,"M","Region 4 - CALABARZON","Luzon",FALSE,0
382,29,"F","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
383,34,"M","NCR","Luzon",TRUE,0
384,25,"M","NCR","Luzon",TRUE,0
385,35,"F","Region 5 - Bicol","Luzon",FALSE,0
386,28,"M","Region 5 - Bicol","Luzon",TRUE,3
387,39,"M","BARMM","Mindanao",TRUE,3
388,52,"M","Region 5 - Bicol","Luzon",FALSE,0
389,18,"M","MIMAROPA","Luzon",FALSE,0
390,26,"M","MIMAROPA","Luzon",TRUE,2
391,38,"F","CAR","Luzon",FALSE,0
392,35,"F","NCR","Luzon",TRUE,1
393,31,"F","Region 5 - Bicol","Luzon",TRUE,0
394,26,"M","Region 4 - CALABARZON","Luzon",TRUE,1
395,33,"F","BARMM","Mindanao",TRUE,0
396,33,"M","NCR","Luzon",FALSE,0
397,36,"Other","Region 7 - C. Visayas","Visayas",FALSE,0
398,33,"F","Region 3 - Central Luzon","Luzon",TRUE,0
399,30,"M","Region 1 - Ilocos","Luzon",FALSE,0
400,16,"M","NCR","Luzon",TRUE,0
401,36,"M","Region 10 - N. Mindanao","Mindanao",FALSE,0
402,30,"M","MIMAROPA","Luzon",TRUE,2
403,33,"F","Region 11 - Davao","Mindanao",FALSE,0
404,20,"F","Region 8 - E. Visayas","Visayas",FALSE,0
405,24,"M","BARMM","Mindanao",TRUE,1
406,38,"F","NCR","Luzon",FALSE,0
407,29,"M","Region 3 - Central Luzon","Luzon",TRUE,3
408,26,"M","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
409,18,"M","BARMM","Mindanao",FALSE,0
410,20,"F","Region 9 - Zamboanga","Mindanao",TRUE,2
411,20,"M","Region 10 - N. Mindanao","Mindanao",TRUE,0
412,28,"F","Region 6 - W. Visayas","Visayas",FALSE,0
413,42,"M","Region 3 - Central Luzon","Luzon",TRUE,0
414,31,"M","Region 9 - Zamboanga","Mindanao",FALSE,0
415,21,"M","MIMAROPA","Luzon",FALSE,0
416,30,"F","Region 10 - N. Mindanao","Mindanao",TRUE,0
417,33,"M","Region 3 - Central Luzon","Luzon",FALSE,0
418,21,"Other","Region 1 - Ilocos","Luzon",FALSE,0
419,19,"F","Region 4 - CALABARZON","Luzon",FALSE,0
420,41,"M","Region 8 - E. Visayas","Visayas",TRUE,0
421,35,"M","Region 11 - Davao","Mindanao",FALSE,0
422,33,"M","BARMM","Mindanao",FALSE,1
423,24,"M","Region 5 - Bicol","Luzon",FALSE,0
424,32,"F","NCR","Luzon",FALSE,0
425,42,"M","Region 9 - Zamboanga","Mindanao",TRUE,0
426,26,"F","Region 4 - CALABARZON","Luzon",FALSE,0
427,43,"M","Region 1 - Ilocos","Luzon",FALSE,0
428,22,"M","Region 10 - N. Mindanao","Mindanao",FALSE,0
429,42,"M","Region 13 - Caraga","Mindanao",TRUE,2
430,36,"Other","MIMAROPA","Luzon",FALSE,0
431,22,"M","Region 4 - CALABARZON","Luzon",FALSE,0
432,30,"F","Region 10 - N. Mindanao","Mindanao",FALSE,0
433,32,"F","Region 11 - Davao","Mindanao",FALSE,0
434,18,"F","Region 10 - N. Mindanao","Mindanao",TRUE,0
435,34,"F","Region 4 - CALABARZON","Luzon",TRUE,0
436,35,"F","MIMAROPA","Luzon",FALSE,0
437,52,"F","Region 3 - Central Luzon","Luzon",FALSE,0
438,39,"F","Region 12 - SOCCKSARGEN","Mindanao",TRUE,0
439,38,"F","Region 3 - Central Luzon","Luzon",FALSE,1
440,49,"F","Region 6 - W. Visayas","Visayas",FALSE,0
441,34,"M","Region 11 - Davao","Mindanao",TRUE,0
442,36,"F","Region 9 - Zamboanga","Mindanao",TRUE,2
443,31,"M","Region 3 - Central Luzon","Luzon",FALSE,0
444,40,"M","Region 11 - Davao","Mindanao",FALSE,0
445,42,"M","Region 5 - Bicol","Luzon",FALSE,0
446,35,"F","NCR","Luzon",TRUE,0
447,21,"Other","NCR","Luzon",FALSE,0
448,15,"M","NCR","Luzon",FALSE,0
449,34,"F","Region 12 - SOCCKSARGEN","Mindanao",TRUE,0
450,20,"M","Region 7 - C. Visayas","Visayas",TRUE,1
451,37,"F","Region 11 - Davao","Mindanao",TRUE,0
452,40,"F","CAR","Luzon",TRUE,0
453,24,"M","Region 9 - Zamboanga","Mindanao",FALSE,0
454,26,"Other","Region 6 - W. Visayas","Visayas",FALSE,0
455,40,"M","Region 7 - C. Visayas","Visayas",TRUE,2
456,42,"M","Region 6 - W. Visayas","Visayas",FALSE,0
457,45,"M","Region 9 - Zamboanga","Mindanao",TRUE,0
458,28,"F","Region 6 - W. Visayas","Visayas",TRUE,0
459,21,"F","Region 9 - Zamboanga","Mindanao",FALSE,1
460,34,"F","Region 4 - CALABARZON","Luzon",FALSE,0
461,17,"F","Region 4 - CALABARZON","Luzon",TRUE,0
